Site,SubSite,CaptureDate,Species,IndividualID,Sex,MassG,SVLmm,BdSample,SwabLost,SwabID,BdResult,TargetCopies/swab,HgSampleID,Notes,potential_injury_effect,flagged,reason,dead
LostHorse,1,5/6/21,RALU,900111880425643,M,14.8,51,Y,0,2100400261,pos,3480.69631962423,,Has RR2,0,0,,
LostHorse,1,5/6/21,RALU,900111880425624,M,18,58,Y,0,2100400262,pos,261973.185713757,,Has LR2,0,0,,
LostHorse,1,5/6/21,RALU,900111880425450,M,16.8,51,Y,0,2100400263,pos,21208.6840354542,21ARMI1066,Gave RR2,0,0,,
LostHorse,1,5/6/21,RALU,900111880425618,M,13.9,52,Y,0,2100400264,pos,6709.06029366639,21ARMI1048,Gave RR2,0,0,,
LostHorse,1,4/21/21,RALU,900111880425539,M,12.9,55,Y,0,2100400265,pos,4549.59495462868,20ARMI0490,Give RR2,0,0,,
LostHorse,1,4/21/21,RALU,900111880425525,M,14.9,54,Y,0,2100400266,pos,875.145890558372,20ARMI0412,Give RR2,0,0,,
LostHorse,1,4/21/21,RALU,900111880425564,F,28.1,74,Y,0,2100400267,pos,357687.658648605,20ARMI1786,Give RR2,0,0,,
LostHorse,1,4/21/21,RALU,900111880425522,M,14.5,53,Y,0,2100400268,neg,0,20ARMI0470,Give RR2,0,0,,
LostHorse,1,4/21/21,RALU,900111880425574,M,14,56,Y,0,2100400269,neg,0,20ARMI0448,Give RR2,0,0,,
LostHorse,1,4/21/21,RALU,900111880426054,M,14.6,56,Y,0,2100400270,pos,5052.98894066538,,Has RR2,0,0,,
LostHorse,1,4/21/21,RALU,900111880426519,M,18.2,60,Y,0,2100400271,pos,685.696530986677,,Has LR2,0,0,,
LostHorse,1,4/21/21,RALU,900111880425172,M,15.4,56,Y,0,2100400272,pos,2219.94427873227,,Has LR2,0,0,,
LostHorse,1,4/21/21,RALU,900111880425532,M,14.6,54,Y,0,2100400273,pos,331.856207587978,20ARMI0484,Give RR2,0,0,,
