Site,SubSite,CaptureDate,Species,IndividualID,SVLmm,Sex,Age,MassG,BdSample,SwabLost,SwabID,BdResult,TargetCopies/swab,HgSampleID,Notes,potential_injury_effect,flagged,reason,dead
SMNWR_E,SMNWR1601,10/29/2017,AMCI,AC-185,64,M,A,7.01,Y,1,1603000415,,,,"Recapture; on data sheet as xPxx, but is xOxx",0,0,,
SMNWR_W,SMNWR3001,12/6/2017,AMCI,AC-190,70,F,A,6.96,Y,0,1603000298,neg,0,,Recapture; not gravid - large and looks wrinkly like she was gravid but laid eggs.,0,0,,
SMNWR_E,SMNWR1601,11/21/2018,AMCI,AC-223,56,F,A,6.94,N,,,,,,Recapture; Gravid; VIE read as xxPO,0,0,,
SMNWR_W,SMNWR3001,10/30/2019,AMCI,AC-481,59,F,A,6.81,N,,,,,,gravid,0,0,,
SMNWR_W,SMNWR3001,10/29/2017,AMCI,AC-194,70,M,A,6.73,N,,,,,,,0,0,,
SMNWR_E,SMNWR1601,10/29/2017,AMCI,AC-195,64,F,A,6.57,Y,1,1603000484,,,,Gravid,0,0,,
SMNWR_E,SMNWR1601,1/29/2018,AMCI,AC-263,68,F,A,6.53,Y,1,1702000001,,,,Recapture; healed scrape on head canon,1,0,,
SMNWR_W,SMNWR3001,11/23/2017,AMCI,AC-244,71,F,A,6.48,N,,,,,,"Recapture; leaving pond 1 day later at same trap. (re-measured SVL, 63-71) check for eggs.",0,0,,
SMNWR_E,SMNWR1601,12/6/2017,AMCI,AC-251,61,F,A,6.41,Y,1,1603000296,,,,thin tail. VIE: Gravid; pos 1(O) spread from armpit to throat and middle left body,0,0,,
SMNWR_E,SMNWR1601,11/10/2017,AMCI,AC-223,63,F,A,6.35,Y,1,1603000220,,,,Gravid,0,0,,
SMNWR_E,SMNWR0145,11/21/2017,AMCI,AC-238,62,F,A,6.35,N,1,1603000238,,,,Gravid,0,0,,
SMNWR_E,SMNWR1601,10/28/2017,AMCI,AC-189,65,M,A,6.31,Y,1,1603000477,,,,,0,0,,
SMNWR_E,SMNWR1601,11/4/2017,AMCI,AC-217,66,F,A,6.26,Y,1,1603000425,,,,Gravid; SAME TRAP,0,0,,
SMNWR_E,SMNWR0145,12/7/2017,AMCI,AC-263,72,F,A,6.24,Y,0,1603000191,neg,0,,,0,0,,
