Site,SubSite,CaptureDate,Species,IndividualID,SVLmm,Sex,Age,MassG,BdSample,SwabLost,SwabID,BdResult,TargetCopies/sawb,HgSampleID,Notes,potential_injury_effect,flagged,reason,dead
SanFrancisquito,1,9/2/20,RADR,845263772,83.0,M,A,60.0,Y,0,1903200230,pos,82871.4264090745,20ARMI0947,CJH20-042 -S10,0,,,
SanFrancisquito,1,9/2/20,RADR,845296123,107.0,F,A,143.0,Y,0,1903200231,pos,2981.85482213077,,CJH20-042 -S17,0,,,
SanFrancisquito,1,9/2/20,RADR,053545060,81.0,M,A,63.0,Y,0,1903200232,pos,318.778599723091,20ARMI0906,CJH20-042 -S18,0,,,
SanFrancisquito,1,9/2/20,RADR,044020771,82.0,F,A,65.0,Y,0,1903200233,neg,0,,CJH20-042 -S19,0,,,
SanFrancisquito,1,9/2/20,RADR,845535067,85.0,F,A,80.0,Y,0,1903200234,pos,303102.269503917,20ARMI0914,CJH20-042 -S20,0,,,
SanFrancisquito,1,9/2/20,RADR,845296532,100.0,F,A,95.0,Y,0,1903200235,pos,1570.36908257824,,CJH20-042 -S21,0,,,
SanFrancisquito,1,9/2/20,RADR,845296834,93.0,F,A,85.0,Y,0,1903200236,neg,0,,CJH20-042 -S22,0,,,
SanFrancisquito,1,9/2/20,RADR,845263379,70.0,M,A,52.0,Y,0,1903200237,pos,38448.0380941676,20ARMI0921,CJH20-042 -S28,0,,,
SanFrancisquito,1,9/2/20,RADR,836522368,100.0,F,A,110.0,Y,0,1903200238,pos,24672.5270221374,,CJH20-042 -S31,0,,,
SanFrancisquito,1,9/2/20,RADR,845296087,86.0,F,A,75.0,Y,0,1903200239,pos,1257.54486530279,,CJH20-042 -S38,0,,,
SanFrancisquito,1,9/2/20,RADR,845263038,85.0,M,A,60.0,Y,0,1903200240,neg,0,,CJH20-042 -S42,0,,,
SanFrancisquito,1,9/2/20,RADR,836533558,75.0,M,A,60.0,Y,0,1903200241,neg,0,,CJH20-042 -S43,0,,,
SanFrancisquito,1,9/2/20,RADR,845263322,80.0,M,A,54.0,Y,0,1903200242,neg,0,20ARMI0896,CJH20-042 -S44,0,,,
SanFrancisquito,1,9/2/20,RADR,044054034,85.0,M,A,53.0,Y,0,1903200243,pos,32.2273271186682,20ARMI0918,CJH20-042 -S45,0,,,
SanFrancisquito,1,9/2/20,RADR,044057262,83.0,M,A,53.5,Y,0,1903200244,pos,576.32284906981,,CJH20-042 -S46,0,,,
SanFrancisquito,1,9/2/20,RADR,845527868,95.0,F,A,85.0,Y,0,1903200245,pos,442.725881966038,20ARMI0944,CJH20-042 -S47,0,,,
SanFrancisquito,1,7/8/19,RADR,044063269,93.0,F,A,86.0,Y,0,1904200163,pos,250.281350518281,19ARMI1888,LG19-022 -S1,0,,,
SanFrancisquito,1,7/8/19,RADR,836380350,,F,A,86.0,Y,0,1904200164,neg,0,19ARMI1871,LG19-022 -S2,0,,,
SanFrancisquito,1,7/8/19,RADR,044051331,90.0,M,A,87.0,Y,0,1904200165,neg,0,19ARMI1856,LG19-022 -S3,0,,,
SanFrancisquito,1,7/8/19,RADR,044034288,90.0,F,A,90.0,Y,0,1904200166,pos,14323.4978621233,19ARMI1890,LG19-022 -S6,0,,,
SanFrancisquito,1,7/8/19,RADR,108014549,86.0,M,A,69.0,Y,0,1904200167,neg,0,19ARMI1894,LG19-022 -S8,0,,,
SanFrancisquito,1,7/8/19,RADR,108005785,,M,A,,Y,0,1904200168,pos,1843.10017180107,19ARMI1874,LG19-022 -S9,0,,,
SanFrancisquito,1,7/8/19,RADR,836525271,104.0,F,A,105.0,Y,0,1904200169,pos,229219.475440004,19ARMI1901,LG19-022 -S12,0,,,
SanFrancisquito,1,7/8/19,RADR,836539070,100.0,F,A,125.0,Y,0,1904200170,pos,31986.659430793,19ARMI1869,LG19-022 -S13,0,,,
SanFrancisquito,1,7/9/19,RADR,044032073,77.0,M,A,63.0,Y,0,1904200171,pos,302.895793911552,19ARMI1862,LG19-022 -S14,0,,,
SanFrancisquito,1,7/9/19,RADR,044027808,89.0,F,A,102.0,Y,0,1904200172,pos,228.751356273295,19ARMI1907,LG19-022 -S15,0,,,
SanFrancisquito,1,7/9/19,RADR,044050895,78.0,M,A,67.0,Y,0,1904200173,pos,43.8522290782168,19ARMI1881,LG19-022 -S21,0,,,
SanFrancisquito,1,7/9/19,RADR,836516520,79.0,F,A,64.0,Y,0,1904200174,pos,25147.8064176912,19ARMI1873,LG19-022 -S22,0,,,
SanFrancisquito,1,7/9/19,RADR,044032618,106.0,F,A,140.0,Y,0,1904200175,neg,0,19ARMI1959,LG19-022 -S23,0,,,
SanFrancisquito,1,7/9/19,RADR,108005257,100.0,F,A,112.0,Y,0,1904200176,neg,0,19ARMI1857,LG19-022 -S24,0,,,
SanFrancisquito,1,7/9/19,RADR,044035879,84.0,F,A,77.0,Y,0,1904200177,neg,0,19ARMI1891,LG19-022 -S28,0,,,
SanFrancisquito,1,7/9/19,RADR,044020771,80.0,F,A,70.0,Y,0,1904200178,pos,975.294555073216,19ARMI1899,LG19-022 -S29,0,,,
SanFrancisquito,1,7/9/19,RADR,845263891,82.0,F,A,102.0,Y,0,1904200179,neg,0,19ARMI1889,LG19-022 -S32,0,,,
SanFrancisquito,1,7/9/19,RADR,845263827,75.0,M,A,41.0,Y,0,1904200180,pos,40.5745658821074,19ARMI1905,LG19-022 -S36,0,,,
SanFrancisquito,1,7/9/19,RADR,845263589,85.0,F,A,51.0,Y,0,1904200181,neg,0,19ARMI1882,LG19-022 -S37,0,,,
SanFrancisquito,1,7/9/19,RADR,842802574,99.0,F,A,120.0,Y,0,1904200182,neg,0,19ARMI1883,LG19-022 -S38,0,,,
SanFrancisquito,1,7/9/19,RADR,845263303,81.0,M,A,52.0,Y,0,1904200183,neg,0,19ARMI1898,LG19-022 -S39,0,,,
SanFrancisquito,1,7/9/19,RADR,836533558,83.0,M,A,70.0,Y,0,1904200184,neg,0,19ARMI1879,LG19-022 -S40,0,,,
SanFrancisquito,1,7/9/19,RADR,845263859,72.0,M,A,42.0,Y,0,1904200185,pos,11691.1522133612,19ARMI1884,LG19-022 -S41,0,,,
SanFrancisquito,1,7/9/19,RADR,845263038,77.0,M,A,55.0,Y,0,1904200186,pos,4534.11995735815,19ARMI1902,LG19-022 -S42,0,,,
SanFrancisquito,1,7/9/19,RADR,845263795,91.0,F,A,88.0,Y,0,1904200187,pos,101946.485874094,19ARMI1855,LG19-022 -S43,0,,,
SanFrancisquito,1,7/9/19,RADR,845263820,72.0,M,A,44.0,Y,0,1904200188,pos,172521.10122361,19ARMI1865,LG19-022 -S44,0,,,
