Site,SubSite,CaptureDate,Species,PondLocation,IndividualID,Sex,Age,SVLmm,MassG,BdSample,SwabLost,SwabID,BdResult,TargetCopies/swab,HgSampleID,Notes,potential_injury_effect,flagged,reason,dead,HP,Abundance,Area,Density,Temp,Temp_1w,Temp_2w,Temp_3w,Temp_4w,Air_Max,Air_Max1,Air_Max2,Air_Max3,Air_Max4,Site_temp,Site_temp1,Site_temp2,Site_temp3,Site_temp4
ScotiaBarrens,SC37,6/17/2019,NOVI,D1,OBROYB,M,,42,,N,,,,,,DOUBLE-MARKED IN POSITION 5. NEW CODE IS OBRO(YR)B,,1,Wrong animal?,,Long,2538.657865,1869.461667,1.357961979,17.88670139,16.58835218,17.92769147,18.67085615,17.11713393,18.42777778,16.79285714,18.57857143,18.6968254,17.95952381,18.06957643,16.18529889,17.49558317,18.33580416,16.7808524
ScotiaBarrens,SC37,6/17/2019,NOVI,D2,RBBORB,F,,38,,N,,,,,,"Incorrectly ID'd as RBxORB since code was not used in 2019. Changed to RBBORB due to sex, location, and measurements.",,1,Wrong animal?,,Long,2538.657865,1869.461667,1.357961979,17.88670139,16.58835218,17.92769147,18.67085615,17.11713393,18.42777778,16.79285714,18.57857143,18.6968254,17.95952381,18.06957643,16.18529889,17.49558317,18.33580416,16.7808524
ScotiaBarrens,SC37,6/17/2019,NOVI,D1/6,xRxOYB,M,,40,,N,,,,,,Incorrectly recorded as recap. Codes near this code were new on same day. Changed status to new.,,1,Wrong animal?,,Long,2538.657865,1869.461667,1.357961979,17.88670139,16.58835218,17.92769147,18.67085615,17.11713393,18.42777778,16.79285714,18.57857143,18.6968254,17.95952381,18.06957643,16.18529889,17.49558317,18.33580416,16.7808524
ScotiaBarrens,SC47,6/19/2019,NOVI,NR,RBRBBB,M,,39,,N,,,,,,Incorrectly ID'd as RBxBBB since never recorded as new. Mark in position 3 lost? Changed to RBRBBB.,,1,Wrong animal?,,Short,96.44079875,301.8783333,0.319469098,,,,,,20.98888889,17.48650794,19.43730159,17.19920635,18.72063492,19.61143166,16.6338466,17.95892822,17.32997457,17.31952394
ScotiaBarrens,A11,6/19/2019,NOVI,D1,YOOOBB,F,,38,,N,,,,,,Incorrectly ID'd as YxOOBB. YxOOBB not used yet. Changed to YOOOBB based on sex and measurements.,,1,Wrong animal?,,Long,91.85669221,268.845,0.341671566,19.32994167,16.40674881,17.57924524,17.00420595,16.85791548,20.98888889,17.48650794,19.43730159,17.19920635,18.72063492,19.61143166,16.6338466,17.95892822,17.32997457,17.31952394
ScotiaBarrens,SC47,6/19/2019,NOVI,NR,YYROBB,M,,39,,N,,,,,,"Incorrectly ID'd as YYxOBB. Never new and code never used. Probably a lost mark in position 3. Changed to YYROBB based on date, sex, and measurements.",,1,Wrong animal?,,Short,96.44079875,301.8783333,0.319469098,,,,,,20.98888889,17.48650794,19.43730159,17.19920635,18.72063492,19.61143166,16.6338466,17.95892822,17.32997457,17.31952394
ScotiaBarrens,P1,6/20/2019,NOVI,D3/4,OBOORR,M,,37,,N,,,,,,Incorrectly ID'd as OxOORR. Code was not yet used. Changed to OBOORR based on measurements and sex.,,1,Wrong animal?,,Long,434.8518028,560.6216667,0.775660001,20.75748397,17.5936685,18.29171137,17.56660502,18.47894558,21.83888889,18.18174603,18.81904762,17.21111111,19.66031746,20.22738766,17.19693826,17.80604796,17.02825641,17.91610522
ScotiaBarrens,P1,6/20/2019,NOVI,D1,xORYRR,M,,41,,N,,,,,,Incorrectly ID'd as xORYxR. Not BORYRR since caught on same day. Changed to xORYRR based on similar measurements.,,1,Wrong animal?,,Long,434.8518028,560.6216667,0.775660001,20.75748397,17.5936685,18.29171137,17.56660502,18.47894558,21.83888889,18.18174603,18.81904762,17.21111111,19.66031746,20.22738766,17.19693826,17.80604796,17.02825641,17.91610522
ScotiaBarrens,P1,6/20/2019,NOVI,D4,xRBOxx,M,,40,,N,,,,,,Actual mark is xRBOxx based on catch history. Current mark is ORBOxx.,,1,Wrong animal?,,Long,434.8518028,560.6216667,0.775660001,20.75748397,17.5936685,18.29171137,17.56660502,18.47894558,21.83888889,18.18174603,18.81904762,17.21111111,19.66031746,20.22738766,17.19693826,17.80604796,17.02825641,17.91610522
ScotiaBarrens,P1,6/20/2019,NOVI,D2,YRxOxx,M,,41,,N,,,,,,"MISSED RECAP, DOUBLE-MARKED POSITION 1. NEW CODE IS (YB)RxOxx. DAMAGE AT CLOACA",,1,Wrong animal?,,Long,434.8518028,560.6216667,0.775660001,20.75748397,17.5936685,18.29171137,17.56660502,18.47894558,21.83888889,18.18174603,18.81904762,17.21111111,19.66031746,20.22738766,17.19693826,17.80604796,17.02825641,17.91610522
ScotiaBarrens,P2,6/21/2019,NOVI,NR,ROxxRR,M,,44,,N,,,,,,Incorrectly recorded as new. Changed status to recap.,,1,Wrong animal?,,Long,227.6039346,1196.051667,0.190296072,,,,,,19.97777778,19.11111111,17.78809524,17.72777778,19.53095238,19.42044371,17.87098167,17.33323137,17.10504263,18.30957375
ScotiaBarrens,SC47,6/28/2019,NOVI,NR,BOOOBB,M,,,,N,,,,,,HAS EXTRA O IN POSITION 5 BOOO(OB)B; RECENT RECAP; CAUGHT AS NEW ON 6/27/19,,1,Wrong animal?,,Short,96.44079875,301.8783333,0.319469098,,,,,,25.08333333,21.91031746,19.11111111,17.78809524,17.72777778,22.70501546,19.94554296,17.87098167,17.33323137,17.10504263
