Site,SubSite,Species,CaptureDate,IndividualID,Sex,Age,SVLmm,MassG,BdSample,SwabLost,SwabID,BdResult,TargetCopies/swab,HgSampleID,Notes,potential_injury_effect,flagged,reason,dead
JonesPond,1,ANBO,7/19/2021,147345560A,M,,,,N,,,,,,Caught during RALU surveys.,0,0,,
JonesPond,1,ANBO,5/2/2018,147345643A,M,,76,53.3,Y,0,1800200284,pos,11438.97,18ARMI0693,,0,0,,
JonesPond,1,ANBO,5/3/2018,147345643A,M,,,,N,,,,,,,0,0,,
JonesPond,1,ANBO,5/4/2018,147345643A,M,,,,N,,,,,,,0,0,,
JonesPond,1,ANBO,5/10/2021,147346291A,M,,90,68.2,Y,0,2100400063,neg,0,,Has LR2,0,0,,
JonesPond,1,ANBO,5/11/2021,147346291A,M,,84,65.3,N,,,,,,Has LR2,0,0,,
JonesPond,1,ANBO,5/13/2021,147346291A,M,,87,63.5,N,,,,,,Has LR2,0,0,,
JonesPond,1,ANBO,5/10/2021,147346323A,M,,93,72.8,Y,0,2100400065,pos,320084.64,,Has LR2,0,0,,
JonesPond,1,ANBO,5/11/2021,147346323A,M,,88,72.7,N,,,,,,Has LR2,0,0,,
JonesPond,1,ANBO,5/13/2021,147346323A,M,,80,72.3,N,,,,,,Has LR2,0,0,,
JonesPond,1,ANBO,5/9/2019,147346323A,M,,77,65.3,Y,0,1902400158,neg,0,,,0,0,,
JonesPond,1,ANBO,5/10/2019,147346323A,M,,77,65.3,N,,,,,,,0,0,,
JonesPond,1,ANBO,5/14/2019,147346323A,M,,77,65.3,N,,,,,,,0,0,,
JonesPond,1,ANBO,5/16/2020,147346323A,M,,84,62.1,Y,0,2001800013,pos,51468.19,,,0,0,,
JonesPond,1,ANBO,5/3/2018,147346323A,M,,69,43.1,Y,0,1800200199,pos,69.89,18ARMI0545,,0,0,,
JonesPond,1,ANBO,5/4/2018,147346323A,M,,,,N,,,,,,,0,0,,
JonesPond,1,ANBO,5/17/2020,147346323A,M,,,,N,,,,,,caught on 5/16/20,0,0,,
JonesPond,1,ANBO,5/18/2020,147346323A,M,,,,N,,,,,,caught on 5/16/20,0,0,,
JonesPond,1,ANBO,5/25/2020,147346323A,M,,,,N,,,,,,caught on 5/16/20,0,0,,
JonesPond,1,ANBO,5/2/2018,147346331A,M,,71,40.1,Y,0,1800200278,pos,60737.04,18ARMI0691,,0,0,,
JonesPond,1,ANBO,5/3/2018,147346331A,M,,,,N,,,,,,,0,0,,
JonesPond,1,ANBO,5/4/2018,147346331A,M,,,,N,,,,,,,0,0,,
JonesPond,1,ANBO,5/3/2018,147347225A,M,,64,30.6,Y,0,1800200220,neg,0,18ARMI0531,,0,0,,
JonesPond,1,ANBO,5/4/2018,147347225A,M,,,,N,,,,,,,0,0,,
JonesPond,1,ANBO,5/9/2019,147347262A,M,,88,66.5,Y,0,1902400138,pos,884739.85,19ARMI1358,,0,0,,
JonesPond,1,ANBO,5/10/2019,147347262A,M,,88,66.5,N,,,,,,,0,0,,
JonesPond,1,ANBO,5/2/2018,147347290A,M,,70,45.5,Y,0,1800200275,pos,2083.62,18ARMI0702,,0,0,,
JonesPond,1,ANBO,5/3/2018,147347290A,M,,,,N,,,,,,,0,0,,
JonesPond,1,ANBO,5/4/2018,147347290A,M,,,,N,,,,,,,0,0,,
JonesPond,1,ANBO,5/9/2019,147347352A,M,,78,48.5,Y,0,1902400133,neg,0,19ARMI1328,,0,0,,
JonesPond,1,ANBO,5/10/2019,147347352A,M,,78,48.5,N,,,,,,,0,0,,
JonesPond,1,ANBO,5/17/2020,147347732A,F,,91,102.9,Y,0,2001800010,neg,0,20ARMI0440,gravid,0,0,,
JonesPond,1,ANBO,5/10/2021,147348356A,M,,87,64.1,Y,0,2100400068,pos,90.06,,Has LR2,0,0,,
JonesPond,1,ANBO,5/13/2021,147348356A,M,,78,58.8,N,,,,,,Has LR2,0,0,,
JonesPond,1,ANBO,5/11/2021,147348356A,M,,84,57.6,N,,,,,,Has LR2,0,0,,
JonesPond,1,ANBO,5/16/2020,147348356A,M,,76,43.1,Y,0,2001800028,neg,0,,,0,0,,
JonesPond,1,ANBO,5/9/2019,147348356A,M,,72,35.9,Y,0,1902400152,pos,307.47,,,0,0,,
JonesPond,1,ANBO,5/10/2019,147348356A,M,,72,35.9,N,,,,,,,0,0,,
JonesPond,1,ANBO,5/17/2020,147348356A,M,,,,N,,,,,,caught on 5/16/20,0,0,,
JonesPond,1,ANBO,5/18/2020,147348356A,M,,,,N,,,,,,caught on 5/16/20,0,0,,
JonesPond,1,ANBO,5/25/2020,147348356A,M,,,,N,,,,,,caught on 5/16/20,0,0,,
JonesPond,1,ANBO,6/22/2021,147348356A,M,,,,N,,,,,,Caught during RALU surveys.,0,0,,
JonesPond,1,ANBO,5/9/2019,147348366A,M,,77,50.7,Y,0,1902400125,pos,59507.99,19ARMI1406,,0,0,,
JonesPond,1,ANBO,5/10/2019,147348366A,M,,77,50.7,N,,,,,,,0,0,,
JonesPond,1,ANBO,5/14/2019,147348366A,M,,77,50.7,N,,,,,,,0,0,,
JonesPond,1,ANBO,5/2/2018,147349095A,M,,64,33.7,Y,0,1800200292,neg,0,18ARMI0704,,0,0,,
